Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
55,,,,,,,-119.84555567,34.41640846,-20.458,Global,8.4,0.012,0.012,0.015,0.018,1.945,m,FIX,RTK,2026-02-06 18:03:30.2 UTC-08:00,2026-02-06 18:03:30.2 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11284.450,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
56,,,,,,,-119.84556935,34.41639617,-20.554,Global,7.6,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:04:26.6 UTC-08:00,2026-02-06 18:04:26.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11286.240,P519_RTCM3,Global CS,7,7,5,6,0,Reach RX2,8243B70F5B178099
57,,,,,,,-119.84558575,34.41637449,-20.298,Global,9.4,0.013,0.013,0.013,0.018,1.945,m,FIX,RTK,2026-02-06 18:05:01.0 UTC-08:00,2026-02-06 18:05:01.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11289.100,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
58,,,,,,,-119.84559761,34.41635299,-20.257,Global,7.2,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:05:09.2 UTC-08:00,2026-02-06 18:05:09.2 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11291.780,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
59,,,,,,,-119.84560662,34.41631930,-20.264,Global,6.9,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:05:42.4 UTC-08:00,2026-02-06 18:05:42.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11295.470,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
60,,,,,,,-119.84560843,34.41629617,-20.266,Global,6.9,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:05:47.6 UTC-08:00,2026-02-06 18:05:47.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11297.870,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
61,,,,,,,-119.84561114,34.41626750,-20.252,Global,8.0,0.012,0.012,0.013,0.017,1.945,m,FIX,RTK,2026-02-06 18:05:53.4 UTC-08:00,2026-02-06 18:05:53.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11300.840,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
62,,,,,,,-119.84561029,34.41624127,-20.265,Global,7.7,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 18:05:58.6 UTC-08:00,2026-02-06 18:05:58.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11303.440,P519_RTCM3,Global CS,8,7,5,6,0,Reach RX2,8243B70F5B178099
63,,,,,,,-119.84491221,34.41650780,-20.339,Global,3.3,0.012,0.012,0.018,0.018,1.945,m,FIX,RTK,2026-02-06 18:09:53.2 UTC-08:00,2026-02-06 18:09:53.2 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11249.120,P519_RTCM3,Global CS,9,6,6,6,0,Reach RX2,8243B70F5B178099
64,,,,,,,-119.84489397,34.41648609,-20.213,Global,4.8,0.013,0.013,0.018,0.018,1.945,m,FIX,RTK,2026-02-06 18:09:59.4 UTC-08:00,2026-02-06 18:09:59.4 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11250.520,P519_RTCM3,Global CS,8,7,6,6,0,Reach RX2,8243B70F5B178099
65,,,,,,,-119.84487959,34.41646700,-20.229,Global,4.3,0.012,0.012,0.014,0.017,1.945,m,FIX,RTK,2026-02-06 18:10:07.8 UTC-08:00,2026-02-06 18:10:07.8 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11251.920,P519_RTCM3,Global CS,9,7,5,6,0,Reach RX2,8243B70F5B178099
66,,,,,,,-119.84487447,34.41644259,-20.168,Global,4.1,0.012,0.012,0.011,0.017,1.945,m,FIX,RTK,2026-02-06 18:10:14.2 UTC-08:00,2026-02-06 18:10:14.2 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11254.140,P519_RTCM3,Global CS,8,7,6,6,0,Reach RX2,8243B70F5B178099
67,,,,,,,-119.84487125,34.41642527,-20.147,Global,4.4,0.012,0.012,0.011,0.017,1.945,m,FIX,RTK,2026-02-06 18:10:31.0 UTC-08:00,2026-02-06 18:10:31.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11255.760,P519_RTCM3,Global CS,8,6,5,6,0,Reach RX2,8243B70F5B178099
68,,,,,,,-119.84486901,34.41640102,-20.217,Global,5.1,0.013,0.013,0.022,0.018,1.945,m,FIX,RTK,2026-02-06 18:10:37.6 UTC-08:00,2026-02-06 18:10:37.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11258.100,P519_RTCM3,Global CS,7,7,5,5,0,Reach RX2,8243B70F5B178099
69,,,,,,,-119.84486577,34.41637860,-20.240,Global,3.4,0.012,0.012,0.014,0.017,1.945,m,FIX,RTK,2026-02-06 18:10:43.8 UTC-08:00,2026-02-06 18:10:43.8 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11260.240,P519_RTCM3,Global CS,6,5,5,1,0,Reach RX2,8243B70F5B178099
