Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
36,,,,,,,-119.84129525,34.41349966,-21.046,Global,14.3,0.013,0.013,0.015,0.018,1.945,m,FIX,RTK,2026-01-19 14:20:40.0 UTC-08:00,2026-01-19 14:20:40.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11416.360,P519_RTCM3,Global CS,8,5,5,4,0,Reach RX2,8243B70F5B178099
37,,,,,,,-119.84126380,34.41349724,-20.981,Global,18.6,0.013,0.013,0.015,0.019,1.945,m,FIX,RTK,2026-01-19 14:20:49.8 UTC-08:00,2026-01-19 14:20:49.8 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11415.190,P519_RTCM3,Global CS,8,6,5,4,0,Reach RX2,8243B70F5B178099
38,,,,,,,-119.84121409,34.41351007,-21.076,Global,16.2,0.013,0.013,0.017,0.019,1.945,m,FIX,RTK,2026-01-19 14:21:01.0 UTC-08:00,2026-01-19 14:21:01.0 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11412.430,P519_RTCM3,Global CS,8,6,6,3,0,Reach RX2,8243B70F5B178099
39,,,,,,,-119.84111460,34.41351046,-20.952,Global,20.8,0.014,0.014,0.016,0.020,1.945,m,FIX,RTK,2026-01-19 14:21:26.4 UTC-08:00,2026-01-19 14:21:26.4 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11408.570,P519_RTCM3,Global CS,8,6,6,3,0,Reach RX2,8243B70F5B178099
40,,,,,,,-119.84102508,34.41354707,-20.944,Global,27.7,0.015,0.015,0.018,0.021,1.945,m,FIX,RTK,2026-01-19 14:21:44.0 UTC-08:00,2026-01-19 14:21:44.0 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11402.260,P519_RTCM3,Global CS,8,5,6,4,0,Reach RX2,8243B70F5B178099
41,,,,,,,-119.84148994,34.41347063,-21.133,Global,15.3,0.013,0.013,0.015,0.018,1.945,m,FIX,RTK,2026-01-19 14:22:53.4 UTC-08:00,2026-01-19 14:22:53.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11426.260,P519_RTCM3,Global CS,6,4,3,3,0,Reach RX2,8243B70F5B178099
42,,,,,,,-119.84156994,34.41346836,-21.333,Global,8.5,0.012,0.012,0.013,0.018,1.945,m,FIX,RTK,2026-01-19 14:23:12.4 UTC-08:00,2026-01-19 14:23:12.4 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11429.230,P519_RTCM3,Global CS,8,6,6,3,0,Reach RX2,8243B70F5B178099
43,,,,,,,-119.84161291,34.41346233,-21.298,Global,18.4,0.014,0.014,0.018,0.020,1.945,m,FIX,RTK,2026-01-19 14:23:24.4 UTC-08:00,2026-01-19 14:23:24.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11431.830,P519_RTCM3,Global CS,7,6,4,3,0,Reach RX2,8243B70F5B178099
44,,,,,,,-119.84163707,34.41343215,-21.504,Global,7.0,0.012,0.012,0.015,0.017,1.945,m,FIX,RTK,2026-01-19 14:23:38.6 UTC-08:00,2026-01-19 14:23:38.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11435.080,P519_RTCM3,Global CS,6,6,5,3,0,Reach RX2,8243B70F5B178099
45,,,,,,,-119.84170891,34.41340465,-21.811,Global,12.0,0.013,0.013,0.013,0.018,1.945,m,FIX,RTK,2026-01-19 14:23:58.8 UTC-08:00,2026-01-19 14:23:58.8 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11440.990,P519_RTCM3,Global CS,8,6,6,4,0,Reach RX2,8243B70F5B178099
46,,,,,,,-119.84173276,34.41344658,-21.662,Global,9.3,0.013,0.013,0.014,0.019,1.945,m,FIX,RTK,2026-01-19 14:24:10.8 UTC-08:00,2026-01-19 14:24:10.8 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11437.540,P519_RTCM3,Global CS,8,6,6,3,0,Reach RX2,8243B70F5B178099
47,,,,,,,-119.84181099,34.41347053,-21.543,Global,15.5,0.013,0.013,0.025,0.019,1.945,m,FIX,RTK,2026-01-19 14:24:33.2 UTC-08:00,2026-01-19 14:24:33.2 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11438.150,P519_RTCM3,Global CS,8,6,5,3,0,Reach RX2,8243B70F5B178099
48,,,,,,,-119.84190477,34.41346074,-21.641,Global,9.2,0.013,0.013,0.015,0.018,1.945,m,FIX,RTK,2026-01-19 14:25:00.0 UTC-08:00,2026-01-19 14:25:00.0 UTC-08:00,1,1.1,1.4,,,,-119.79242800,34.50781198,811.544,11442.330,P519_RTCM3,Global CS,8,6,5,3,0,Reach RX2,8243B70F5B178099
49,,,,,,,-119.84197361,34.41345577,-21.642,Global,9.5,0.013,0.013,0.015,0.018,1.945,m,FIX,RTK,2026-01-19 14:25:13.8 UTC-08:00,2026-01-19 14:25:13.8 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11445.370,P519_RTCM3,Global CS,8,6,4,3,0,Reach RX2,8243B70F5B178099
50,,,,,,,-119.84202069,34.41350505,-21.716,Global,13.4,0.013,0.013,0.014,0.018,1.945,m,FIX,RTK,2026-01-19 14:25:27.8 UTC-08:00,2026-01-19 14:25:27.8 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11442.240,P519_RTCM3,Global CS,8,6,7,3,0,Reach RX2,8243B70F5B178099
51,,,,,,,-119.84207022,34.41357549,-21.631,Global,12.7,0.013,0.013,0.016,0.018,1.945,m,FIX,RTK,2026-01-19 14:25:45.0 UTC-08:00,2026-01-19 14:25:45.0 UTC-08:00,1,1.3,1.5,,,,-119.79242800,34.50781198,811.544,11436.820,P519_RTCM3,Global CS,5,4,3,3,0,Reach RX2,8243B70F5B178099
52,,,,,,,-119.84209463,34.41365251,-21.411,Global,18.3,0.015,0.015,0.016,0.021,1.945,m,FIX,RTK,2026-01-19 14:25:57.6 UTC-08:00,2026-01-19 14:25:57.6 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11430.030,P519_RTCM3,Global CS,8,6,4,3,0,Reach RX2,8243B70F5B178099
53,,,,,,,-119.84212142,34.41368672,-21.487,Global,14.3,0.013,0.013,0.014,0.019,1.945,m,FIX,RTK,2026-01-19 14:26:07.2 UTC-08:00,2026-01-19 14:26:07.2 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11427.370,P519_RTCM3,Global CS,7,6,3,3,0,Reach RX2,8243B70F5B178099
54,,,,,,,-119.84213360,34.41372133,-21.382,Global,17.3,0.014,0.014,0.015,0.019,1.945,m,FIX,RTK,2026-01-19 14:26:16.4 UTC-08:00,2026-01-19 14:26:16.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11424.250,P519_RTCM3,Global CS,8,6,6,3,0,Reach RX2,8243B70F5B178099
55,,,,,,,-119.84214952,34.41374795,-21.176,Global,17.8,0.014,0.014,0.015,0.019,1.945,m,FIX,RTK,2026-01-19 14:26:26.4 UTC-08:00,2026-01-19 14:26:26.4 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11422.180,P519_RTCM3,Global CS,8,6,7,4,0,Reach RX2,8243B70F5B178099
56,,,,,,,-119.84215622,34.41377224,-21.212,Global,14.4,0.013,0.013,0.014,0.019,1.945,m,FIX,RTK,2026-01-19 14:26:36.4 UTC-08:00,2026-01-19 14:26:36.4 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11419.760,P519_RTCM3,Global CS,8,6,7,4,0,Reach RX2,8243B70F5B178099
57,,,,,,,-119.84201672,34.41385855,-21.177,Global,18.7,0.015,0.015,0.016,0.021,1.945,m,FIX,RTK,2026-01-19 14:27:29.4 UTC-08:00,2026-01-19 14:27:29.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11406.020,P519_RTCM3,Global CS,8,6,5,4,0,Reach RX2,8243B70F5B178099
58,,,,,,,-119.84206203,34.41386157,-21.520,Global,21.9,0.014,0.014,0.019,0.020,1.945,m,FIX,RTK,2026-01-19 14:27:43.8 UTC-08:00,2026-01-19 14:27:43.8 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11407.500,P519_RTCM3,Global CS,7,6,6,4,0,Reach RX2,8243B70F5B178099
59,,,,,,,-119.84199278,34.41391113,-20.854,Global,15.8,0.013,0.013,0.018,0.019,1.945,m,FIX,RTK,2026-01-19 14:28:00.6 UTC-08:00,2026-01-19 14:28:00.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11399.550,P519_RTCM3,Global CS,7,5,3,3,0,Reach RX2,8243B70F5B178099
60,,,,,,,-119.84200983,34.41394324,-20.887,Global,10.7,0.013,0.013,0.014,0.018,1.945,m,FIX,RTK,2026-01-19 14:28:11.2 UTC-08:00,2026-01-19 14:28:11.2 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11396.780,P519_RTCM3,Global CS,7,5,7,4,0,Reach RX2,8243B70F5B178099
61,,,,,,,-119.84198378,34.41395726,-20.954,Global,19.7,0.014,0.014,0.021,0.020,1.945,m,FIX,RTK,2026-01-19 14:28:21.0 UTC-08:00,2026-01-19 14:28:21.0 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11394.380,P519_RTCM3,Global CS,7,6,7,4,0,Reach RX2,8243B70F5B178099
62,,,,,,,-119.84204532,34.41397449,-20.782,Global,15.9,0.014,0.014,0.015,0.019,1.945,m,FIX,RTK,2026-01-19 14:28:40.6 UTC-08:00,2026-01-19 14:28:40.6 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11395.270,P519_RTCM3,Global CS,7,6,5,4,0,Reach RX2,8243B70F5B178099
63,,,,,,,-119.84199982,34.41400567,-20.728,Global,25.1,0.015,0.015,0.018,0.021,1.945,m,FIX,RTK,2026-01-19 14:28:52.4 UTC-08:00,2026-01-19 14:28:52.4 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11390.340,P519_RTCM3,Global CS,6,6,6,4,0,Reach RX2,8243B70F5B178099
64,,,,,,,-119.84194793,34.41397506,-20.936,Global,15.3,0.013,0.013,0.015,0.019,1.945,m,FIX,RTK,2026-01-19 14:29:03.4 UTC-08:00,2026-01-19 14:29:03.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11391.240,P519_RTCM3,Global CS,7,6,8,3,0,Reach RX2,8243B70F5B178099
65,,,,,,,-119.84189527,34.41398828,-20.841,Global,13.5,0.013,0.013,0.018,0.018,1.945,m,FIX,RTK,2026-01-19 14:29:25.8 UTC-08:00,2026-01-19 14:29:25.8 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11387.860,P519_RTCM3,Global CS,6,6,7,3,0,Reach RX2,8243B70F5B178099
66,,,,,,,-119.84188855,34.41400554,-20.949,Global,0.8,0.012,0.012,0.015,0.016,1.945,m,FIX,RTK,2026-01-19 14:29:42.8 UTC-08:00,2026-01-19 14:29:42.8 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11386.170,P519_RTCM3,Global CS,7,5,6,3,0,Reach RX2,8243B70F5B178099
67,,,,,,,-119.84187996,34.41392390,-21.075,Global,1.9,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-01-19 14:30:10.4 UTC-08:00,2026-01-19 14:30:10.4 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11394.060,P519_RTCM3,Global CS,5,5,8,4,0,Reach RX2,8243B70F5B178099
68,,,,,,,-119.84187722,34.41393799,-20.844,Global,12.2,0.013,0.013,0.015,0.018,1.945,m,FIX,RTK,2026-01-19 14:30:46.4 UTC-08:00,2026-01-19 14:30:46.4 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11392.620,P519_RTCM3,Global CS,7,5,8,4,0,Reach RX2,8243B70F5B178099
69,,,,,,,-119.84183508,34.41392696,-20.761,Global,20.5,0.014,0.014,0.017,0.019,1.945,m,FIX,RTK,2026-01-19 14:30:59.4 UTC-08:00,2026-01-19 14:30:59.4 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11391.910,P519_RTCM3,Global CS,6,6,7,4,0,Reach RX2,8243B70F5B178099
70,,,,,,,-119.84198863,34.41384944,-21.262,Global,8.6,0.013,0.013,0.013,0.018,1.945,m,FIX,RTK,2026-01-19 14:31:50.0 UTC-08:00,2026-01-19 14:31:50.0 UTC-08:00,1,1.0,1.2,,,,-119.79242800,34.50781198,811.544,11405.770,P519_RTCM3,Global CS,7,6,6,4,0,Reach RX2,8243B70F5B178099
